order_id,customer_id,order_date,amount,discount_applied,category,returned,return_reason
ORD000054,CUST00013,2023-04-05,34.23,0.0,Makeup,False,
ORD000055,CUST00013,2022-04-14,201.63,0.17,Makeup,False,
ORD000056,CUST00014,2023-08-30,39.44,15.1,Wellness,False,
ORD000057,CUST00014,2024-03-09,177.79,0.0,Bodycare,False,
ORD000058,CUST00014,2023-07-26,41.16,0.0,Wellness,False,
ORD000059,CUST00014,2023-05-07,169.35,0.0,Wellness,True,damaged
ORD000060,CUST00014,2023-12-19,64.91,0.0,Skincare,False,
ORD000061,CUST00014,2023-12-22,180.91,13.45,Haircare,False,
ORD000062,CUST00015,2023-09-01,71.05,25.3,Wellness,False,
ORD000063,CUST00015,2023-02-27,47.01,0.0,Wellness,False,
ORD000064,CUST00015,2023-11-23,195.28,0.0,Haircare,False,
ORD000065,CUST00015,2024-01-15,60.94,0.0,Makeup,False,
ORD000066,CUST00016,2023-03-14,18.51,0.0,Bodycare,False,
ORD000067,CUST00016,2023-01-13,117.1,29.1,Skincare,False,
ORD000068,CUST00016,2023-01-14,46.12,0.0,Haircare,False,
ORD000069,CUST00016,2023-10-23,140.2,0.0,Bodycare,False,
ORD000070,CUST00016,2023-08-18,216.07,72.06,Wellness,False,
ORD000071,CUST00016,2024-04-24,33.13,10.83,Skincare,False,
ORD000072,CUST00017,2024-04-17,124.62,44.35,Haircare,False,
ORD000073,CUST00017,2024-05-04,77.31,6.51,Bodycare,False,
ORD000074,CUST00017,2024-06-03,25.86,0.0,Skincare,False,
ORD000075,CUST00018,2024-03-07,162.05,0.0,Skincare,False,
ORD000076,CUST00018,2024-02-13,98.78,5.17,Haircare,False,
ORD000077,CUST00018,2024-06-05,94.62,0.0,Skincare,False,
ORD000078,CUST00018,2024-03-12,104.54,36.93,Wellness,False,
ORD000079,CUST00018,2024-02-22,92.8,0.0,Haircare,False,
ORD000080,CUST00019,2023-10-06,110.88,13.67,Skincare,False,
ORD000081,CUST00019,2023-07-24,205.73,20.53,Wellness,True,damaged
ORD000082,CUST00019,2024-04-18,81.56,0.0,Haircare,False,
ORD000083,CUST00020,2023-05-15,40.3,0.0,Makeup,False,
ORD000084,CUST00020,2022-12-25,165.65,61.26,Makeup,False,
ORD000085,CUST00020,2023-08-11,23.42,7.38,Skincare,True,damaged
ORD000086,CUST00020,2023-07-15,37.73,13.86,Haircare,False,
ORD000087,CUST00021,2024-03-31,41.3,3.19,Skincare,False,
ORD000088,CUST00021,2024-04-14,77.79,15.85,Wellness,False,
ORD000089,CUST00021,2024-04-27,70.91,0.0,Bodycare,True,size
ORD000090,CUST00021,2024-06-30,71.1,0.0,Skincare,False,
ORD000091,CUST00021,2024-05-24,78.51,24.7,Wellness,False,
ORD000092,CUST00021,2024-03-03,76.89,17.73,Makeup,False,
ORD000093,CUST00021,2024-02-03,76.23,0.0,Haircare,False,
ORD000094,CUST00021,2024-05-06,79.25,30.08,Wellness,False,
ORD000095,CUST00021,2024-04-23,192.43,0.0,Bodycare,False,
ORD000096,CUST00021,2024-06-11,76.5,12.5,Bodycare,False,
ORD000097,CUST00021,2024-06-23,146.11,24.57,Haircare,False,
ORD000098,CUST00021,2024-06-27,99.89,21.89,Bodycare,True,size
ORD000099,CUST00021,2024-05-23,116.32,0.0,Bodycare,False,
ORD000100,CUST00021,2024-06-01,155.17,41.93,Haircare,False,
ORD000101,CUST00022,2023-01-06,77.59,20.6,Skincare,False,
ORD000102,CUST00022,2023-06-09,45.94,0.0,Haircare,False,
ORD000103,CUST00022,2023-03-11,154.94,15.17,Skincare,False,
ORD000104,CUST00022,2024-01-21,66.83,16.83,Makeup,False,
ORD000105,CUST00022,2024-03-01,117.24,6.92,Skincare,False,
ORD000106,CUST00022,2023-12-21,13.48,4.34,Makeup,False,
ORD000107,CUST00022,2022-12-02,149.64,0.0,Skincare,False,
ORD000108,CUST00022,2024-01-22,551.73,102.54,Wellness,False,
ORD000109,CUST00022,2024-06-12,89.54,27.05,Wellness,False,
ORD000110,CUST00022,2023-12-22,74.85,0.0,Haircare,False,
ORD000111,CUST00022,2024-02-10,65.18,0.0,Bodycare,False,
ORD000112,CUST00022,2024-03-28,132.81,0.0,Makeup,False,
ORD000113,CUST00022,2022-12-30,72.76,0.0,Bodycare,False,
ORD000114,CUST00022,2023-09-04,141.64,0.0,Haircare,True,size
ORD000115,CUST00023,2023-11-28,35.77,0.0,Skincare,False,
ORD000116,CUST00023,2023-12-14,192.65,41.81,Haircare,False,
ORD000117,CUST00023,2023-12-17,134.07,41.28,Skincare,False,
ORD000118,CUST00023,2024-06-10,43.21,0.0,Bodycare,False,
ORD000119,CUST00023,2023-10-15,25.91,0.0,Makeup,False,
ORD000120,CUST00024,2024-02-05,148.78,0.0,Wellness,False,
ORD000121,CUST00024,2023-08-26,52.96,0.0,Makeup,False,
ORD000122,CUST00024,2023-05-20,33.53,8.97,Haircare,False,
ORD000123,CUST00024,2023-12-31,86.13,0.0,Wellness,False,
ORD000124,CUST00024,2023-05-19,323.66,0.0,Skincare,False,
ORD000125,CUST00024,2023-06-17,41.7,0.0,Makeup,False,
ORD000126,CUST00025,2024-05-03,316.76,48.03,Bodycare,False,
ORD000127,CUST00025,2024-05-23,110.42,0.0,Makeup,False,
ORD000128,CUST00025,2024-05-12,129.72,0.0,Wellness,False,
ORD000129,CUST00026,2022-11-29,90.96,0.0,Skincare,False,
ORD000130,CUST00027,2023-09-06,66.53,0.0,Haircare,False,
ORD000131,CUST00027,2023-08-27,15.02,0.0,Makeup,False,
ORD000132,CUST00028,2024-06-06,74.62,28.29,Bodycare,False,
ORD000133,CUST00028,2024-01-04,74.16,18.01,Skincare,False,
ORD000134,CUST00028,2023-09-21,115.62,0.0,Skincare,True,not_needed
ORD000135,CUST00028,2024-04-19,55.15,0.0,Makeup,False,
ORD000136,CUST00029,2024-03-15,104.39,24.72,Haircare,False,
ORD000137,CUST00029,2022-06-26,63.24,0.0,Wellness,False,
ORD000138,CUST00029,2024-06-15,83.63,32.91,Bodycare,False,
ORD000139,CUST00029,2023-09-10,40.13,5.95,Bodycare,False,
ORD000140,CUST00030,2023-11-13,193.81,0.0,Skincare,False,
ORD000141,CUST00030,2024-02-28,190.91,0.0,Makeup,False,
ORD000142,CUST00030,2024-05-09,142.64,10.05,Bodycare,False,
ORD000143,CUST00031,2024-06-10,329.55,0.0,Wellness,False,
ORD000144,CUST00031,2024-02-21,276.26,27.13,Bodycare,False,
ORD000145,CUST00031,2024-05-24,32.7,6.08,Makeup,False,
ORD000146,CUST00031,2024-03-27,36.77,12.52,Haircare,False,
ORD000147,CUST00031,2024-04-05,43.13,0.0,Wellness,False,
ORD000148,CUST00031,2024-02-25,273.24,0.0,Haircare,False,
ORD000149,CUST00031,2023-11-19,58.85,9.57,Haircare,False,
ORD000150,CUST00031,2024-06-06,32.08,0.0,Skincare,False,
ORD000151,CUST00032,2023-07-02,88.03,14.24,Wellness,False,
ORD000152,CUST00032,2023-11-20,107.44,0.0,Makeup,False,
ORD000153,CUST00032,2024-05-31,65.56,0.0,Makeup,False,
ORD000154,CUST00032,2023-10-01,224.49,20.7,Bodycare,False,
ORD000155,CUST00032,2023-07-16,232.94,0.0,Haircare,False,
ORD000156,CUST00033,2023-02-16,29.72,5.76,Wellness,False,
ORD000157,CUST00033,2024-04-06,95.65,3.85,Haircare,False,
ORD000158,CUST00034,2023-05-15,45.49,0.26,Bodycare,False,
ORD000159,CUST00034,2022-06-26,180.4,0.0,Haircare,False,
ORD000160,CUST00034,2024-02-23,58.17,0.0,Skincare,False,
ORD000161,CUST00034,2023-12-19,34.59,6.62,Skincare,False,
ORD000162,CUST00035,2024-03-21,96.66,0.0,Skincare,False,
ORD000163,CUST00036,2023-11-12,83.47,0.0,Skincare,False,
ORD000164,CUST00036,2023-07-07,102.24,23.02,Haircare,False,
ORD000165,CUST00037,2023-05-11,68.67,0.0,Wellness,False,
ORD000166,CUST00037,2023-08-29,149.6,0.0,Makeup,False,
ORD000167,CUST00037,2023-11-10,81.38,0.0,Bodycare,False,
ORD000168,CUST00037,2023-03-12,81.8,0.0,Haircare,False,
ORD000169,CUST00037,2023-08-14,130.11,4.23,Wellness,False,
ORD000170,CUST00037,2023-03-27,142.68,23.31,Makeup,False,
ORD000171,CUST00037,2023-11-04,25.78,2.97,Makeup,False,
ORD000172,CUST00038,2023-07-11,88.85,0.0,Wellness,False,
ORD000173,CUST00038,2024-05-08,103.95,0.0,Skincare,False,
ORD000174,CUST00038,2024-03-09,31.09,1.85,Haircare,False,
ORD000175,CUST00038,2023-07-11,82.51,26.16,Wellness,False,
ORD000176,CUST00038,2023-10-30,138.32,25.93,Makeup,False,
ORD000177,CUST00038,2023-10-22,126.36,0.0,Skincare,False,
ORD000178,CUST00038,2024-04-06,181.93,31.44,Bodycare,False,
ORD000179,CUST00038,2023-06-18,100.24,38.57,Wellness,False,
ORD000180,CUST00039,2024-03-12,95.41,0.0,Bodycare,False,
ORD000181,CUST00039,2024-03-07,566.53,171.38,Makeup,False,
ORD000182,CUST00039,2023-10-06,291.8,68.32,Makeup,False,
ORD000183,CUST00039,2023-07-02,65.8,0.0,Bodycare,False,
ORD000184,CUST00039,2024-04-24,24.13,1.55,Makeup,False,
ORD000185,CUST00040,2023-08-25,85.49,0.0,Wellness,False,
ORD000186,CUST00040,2022-12-10,112.52,0.0,Bodycare,False,
ORD000187,CUST00040,2023-03-01,82.12,0.0,Wellness,False,
ORD000188,CUST00040,2022-11-04,103.25,0.0,Makeup,False,
ORD000189,CUST00041,2022-10-30,97.06,14.05,Makeup,False,
ORD000190,CUST00041,2022-10-27,67.07,14.73,Makeup,False,
ORD000191,CUST00041,2024-01-14,69.59,27.09,Haircare,False,
ORD000192,CUST00041,2023-02-14,49.13,0.27,Haircare,False,
ORD000193,CUST00042,2023-11-18,74.12,0.0,Haircare,True,damaged
ORD000194,CUST00043,2024-06-01,131.89,0.0,Bodycare,False,
ORD000195,CUST00043,2023-09-10,225.9,0.0,Haircare,False,
ORD000196,CUST00043,2023-10-01,89.59,0.0,Wellness,False,
ORD000197,CUST00043,2023-10-28,129.6,0.0,Skincare,False,
ORD000198,CUST00043,2023-07-01,133.19,0.0,Bodycare,False,
ORD000199,CUST00043,2024-06-02,63.34,0.0,Skincare,False,
ORD000200,CUST00043,2023-07-04,133.53,0.0,Wellness,False,
ORD000201,CUST00043,2024-01-13,18.4,0.0,Wellness,False,
ORD000202,CUST00043,2023-10-15,13.92,3.07,Makeup,False,
ORD000203,CUST00043,2024-06-01,71.48,5.39,Wellness,False,
ORD000204,CUST00043,2023-08-25,140.25,43.51,Makeup,True,damaged
ORD000205,CUST00043,2023-08-26,84.81,0.0,Haircare,False,
ORD000206,CUST00043,2023-10-21,151.73,0.0,Wellness,False,
ORD000207,CUST00043,2023-07-29,38.81,0.0,Makeup,False,
ORD000208,CUST00043,2023-04-02,167.0,0.0,Haircare,False,
ORD000209,CUST00044,2024-05-22,177.91,0.0,Skincare,False,
ORD000210,CUST00044,2024-06-07,100.83,0.0,Wellness,False,
ORD000211,CUST00044,2024-05-19,208.41,0.0,Wellness,False,
ORD000212,CUST00044,2024-05-15,231.23,0.0,Makeup,False,
ORD000213,CUST00045,2024-06-15,145.87,3.99,Bodycare,False,
ORD000214,CUST00045,2024-05-26,112.83,0.0,Skincare,False,
ORD000215,CUST00045,2024-06-29,43.29,0.0,Makeup,False,
ORD000216,CUST00045,2024-05-22,56.0,0.0,Skincare,False,
ORD000217,CUST00045,2024-06-01,55.88,0.0,Bodycare,False,
ORD000218,CUST00045,2024-06-08,99.81,21.21,Haircare,False,
ORD000219,CUST00045,2024-05-22,180.94,44.11,Haircare,False,
ORD000220,CUST00045,2024-06-12,188.17,0.0,Makeup,False,
ORD000221,CUST00045,2024-06-21,156.58,15.99,Makeup,True,not_needed
ORD000222,CUST00046,2023-05-31,73.37,27.74,Bodycare,False,
ORD000223,CUST00046,2024-02-28,29.66,0.0,Bodycare,False,
ORD000224,CUST00046,2023-07-12,46.16,0.0,Skincare,False,
ORD000225,CUST00046,2023-08-20,64.9,9.32,Bodycare,False,
ORD000226,CUST00046,2023-01-12,52.31,0.0,Bodycare,False,
ORD000227,CUST00047,2024-01-10,28.35,0.0,Skincare,False,
ORD000228,CUST00047,2024-06-11,101.77,0.0,Bodycare,False,
ORD000229,CUST00047,2024-03-06,129.46,0.0,Haircare,False,
ORD000230,CUST00047,2024-06-14,64.14,19.39,Haircare,False,
ORD000231,CUST00047,2024-06-16,76.79,19.27,Makeup,True,quality
ORD000232,CUST00047,2024-06-04,87.5,4.6,Bodycare,False,
ORD000233,CUST00047,2024-04-23,140.33,7.42,Bodycare,False,
ORD000234,CUST00047,2024-05-22,262.82,0.0,Haircare,False,
ORD000235,CUST00047,2024-03-13,36.63,0.0,Bodycare,False,
ORD000236,CUST00047,2024-04-03,47.4,0.0,Skincare,False,
ORD000237,CUST00047,2024-02-13,49.1,0.0,Makeup,False,
ORD000238,CUST00047,2024-05-29,89.23,28.22,Wellness,True,quality
ORD000239,CUST00047,2024-05-03,68.04,20.39,Makeup,False,
ORD000240,CUST00047,2024-06-19,143.52,0.0,Haircare,True,damaged
ORD000241,CUST00047,2024-01-14,56.85,0.0,Bodycare,False,
ORD000242,CUST00048,2024-06-27,48.34,0.0,Makeup,False,
ORD000243,CUST00049,2023-10-23,154.56,0.0,Skincare,True,quality
ORD000244,CUST00049,2023-10-25,100.6,0.0,Haircare,True,
ORD000245,CUST00049,2023-05-05,56.23,8.34,Wellness,False,
ORD000246,CUST00049,2024-02-20,80.22,0.0,Makeup,False,
ORD000247,CUST00050,2024-04-21,78.35,15.34,Bodycare,False,
ORD000248,CUST00051,2023-02-16,94.14,0.0,Makeup,False,
ORD000249,CUST00051,2023-09-12,44.85,0.0,Bodycare,True,
ORD000250,CUST00052,2024-05-31,98.71,15.72,Skincare,False,
ORD000251,CUST00052,2024-04-12,38.38,3.26,Skincare,False,
ORD000252,CUST00052,2023-12-30,204.55,0.0,Haircare,False,
ORD000253,CUST00052,2024-05-10,378.48,125.63,Wellness,False,
ORD000254,CUST00052,2024-02-11,97.09,0.0,Haircare,False,
ORD000255,CUST00053,2022-12-01,122.82,48.34,Wellness,False,
ORD000256,CUST00053,2023-08-12,30.41,0.0,Skincare,True,size
ORD000257,CUST00054,2023-12-06,53.28,16.8,Skincare,False,
ORD000258,CUST00055,2022-07-19,51.02,2.59,Skincare,False,
ORD000259,CUST00055,2024-02-24,104.36,18.71,Wellness,False,
ORD000260,CUST00055,2022-05-13,136.34,0.0,Wellness,False,
ORD000261,CUST00056,2022-11-06,455.04,0.0,Wellness,False,
ORD000262,CUST00056,2023-07-28,104.07,0.0,Skincare,False,
ORD000263,CUST00056,2024-01-26,27.07,0.0,Skincare,False,
ORD000264,CUST00056,2024-02-07,27.17,0.0,Skincare,False,
ORD000265,CUST00057,2023-08-23,133.81,0.0,Bodycare,True,
ORD000266,CUST00057,2024-05-19,183.09,0.0,Wellness,False,
ORD000267,CUST00057,2024-03-24,105.42,21.32,Skincare,False,
ORD000268,CUST00057,2024-04-14,29.41,0.0,Makeup,False,
ORD000269,CUST00057,2023-05-19,140.45,46.48,Skincare,False,
ORD000270,CUST00057,2023-08-14,81.49,21.68,Haircare,False,
ORD000271,CUST00058,2024-02-05,110.78,36.86,Skincare,True,not_needed
ORD000272,CUST00058,2023-02-18,123.39,0.0,Wellness,False,
ORD000273,CUST00058,2024-05-05,49.32,2.41,Makeup,False,
ORD000274,CUST00058,2022-11-29,220.86,0.0,Bodycare,False,
ORD000275,CUST00058,2023-01-22,110.74,0.0,Makeup,False,
ORD000276,CUST00058,2023-05-25,161.13,0.0,Wellness,False,
ORD000277,CUST00059,2023-03-23,311.15,34.67,Makeup,False,
ORD000278,CUST00059,2023-10-07,17.1,0.0,Wellness,False,
ORD000279,CUST00059,2024-02-01,729.91,0.0,Bodycare,True,quality
ORD000280,CUST00060,2023-06-15,147.12,44.87,Bodycare,False,
ORD000281,CUST00060,2023-03-18,607.15,34.79,Skincare,False,
ORD000282,CUST00060,2023-05-26,38.28,0.0,Skincare,False,
ORD000283,CUST00060,2024-03-31,104.66,0.0,Makeup,False,
ORD000284,CUST00060,2023-09-05,34.09,4.25,Wellness,False,
ORD000285,CUST00061,2024-05-05,83.31,1.75,Wellness,False,
ORD000286,CUST00061,2023-07-30,157.59,0.0,Makeup,False,
ORD000287,CUST00061,2024-03-09,112.53,0.0,Haircare,False,
ORD000288,CUST00061,2024-03-23,285.22,49.05,Wellness,False,
ORD000289,CUST00061,2024-03-10,160.8,0.0,Haircare,False,
ORD000290,CUST00061,2024-01-23,39.44,0.0,Haircare,True,not_needed
ORD000291,CUST00061,2023-10-21,81.3,0.0,Bodycare,False,
ORD000292,CUST00062,2023-12-16,85.23,16.96,Haircare,False,
ORD000293,CUST00063,2024-05-01,23.61,0.0,Wellness,False,
ORD000294,CUST00063,2024-06-28,122.65,0.0,Makeup,False,
ORD000295,CUST00063,2024-06-16,162.24,1.22,Bodycare,False,
ORD000296,CUST00063,2024-05-26,35.76,5.78,Bodycare,False,
ORD000297,CUST00063,2024-03-28,100.58,38.87,Wellness,False,
ORD000298,CUST00063,2024-05-11,83.8,0.0,Skincare,False,
ORD000299,CUST00064,2024-01-15,171.18,0.0,Wellness,False,
ORD000300,CUST00064,2023-12-09,200.37,0.0,Bodycare,False,
ORD000301,CUST00064,2023-10-07,78.53,24.47,Skincare,True,
ORD000302,CUST00064,2024-03-30,110.47,34.3,Haircare,False,
ORD000303,CUST00064,2023-06-23,191.37,19.59,Haircare,False,
ORD000304,CUST00064,2023-01-10,41.69,12.89,Wellness,False,
ORD000305,CUST00064,2024-06-09,66.75,24.67,Wellness,False,
ORD000306,CUST00064,2023-09-20,102.55,0.0,Haircare,False,
ORD000307,CUST00064,2024-01-18,381.77,67.53,Bodycare,False,
ORD000308,CUST00064,2024-06-21,68.04,13.81,Makeup,False,
ORD000309,CUST00064,2022-12-02,74.59,24.81,Skincare,True,
ORD000310,CUST00065,2024-03-13,265.86,0.0,Wellness,False,
ORD000311,CUST00065,2022-08-25,54.17,17.55,Bodycare,False,
ORD000312,CUST00066,2024-03-06,131.15,0.0,Skincare,False,
ORD000313,CUST00067,2024-01-06,73.57,26.46,Skincare,False,
ORD000314,CUST00067,2024-03-01,50.54,0.0,Makeup,True,damaged
ORD000315,CUST00068,2023-07-16,93.76,0.0,Bodycare,False,
ORD000316,CUST00068,2022-11-11,17.28,5.35,Skincare,False,
ORD000317,CUST00068,2024-04-13,105.58,0.0,Bodycare,False,
ORD000318,CUST00068,2022-05-02,62.2,0.0,Bodycare,False,
ORD000319,CUST00068,2024-02-06,38.71,0.0,Wellness,False,
ORD000320,CUST00068,2022-06-28,57.09,13.31,Bodycare,False,
ORD000321,CUST00069,2024-05-08,102.47,0.0,Makeup,False,
ORD000322,CUST00069,2024-03-23,178.91,0.0,Bodycare,False,
ORD000323,CUST00069,2024-05-25,85.24,0.0,Haircare,False,
ORD000324,CUST00070,2024-04-03,194.79,0.0,Wellness,False,
ORD000325,CUST00070,2023-06-12,81.17,0.0,Bodycare,False,
ORD000326,CUST00071,2023-10-25,43.22,3.12,Makeup,False,
ORD000327,CUST00071,2023-12-09,105.04,5.78,Skincare,True,
ORD000328,CUST00072,2024-06-22,59.08,7.96,Haircare,False,
ORD000329,CUST00072,2024-01-20,60.48,4.38,Wellness,False,
ORD000330,CUST00072,2023-06-18,141.53,0.0,Bodycare,True,size
ORD000331,CUST00072,2024-03-29,42.25,0.0,Makeup,False,
ORD000332,CUST00072,2023-08-27,94.94,0.0,Makeup,False,
ORD000333,CUST00072,2023-07-17,569.04,215.58,Makeup,False,
ORD000334,CUST00072,2023-10-15,40.28,0.0,Makeup,False,
ORD000335,CUST00072,2023-06-14,53.35,0.0,Haircare,False,
ORD000336,CUST00072,2023-09-13,84.29,16.2,Skincare,False,
ORD000337,CUST00073,2024-02-16,81.09,0.0,Haircare,False,
ORD000338,CUST00073,2023-06-12,153.78,31.58,Skincare,False,
ORD000339,CUST00074,2024-01-30,47.12,0.0,Skincare,False,
ORD000340,CUST00074,2024-05-08,77.27,15.52,Skincare,False,
ORD000341,CUST00074,2024-04-17,22.31,2.84,Bodycare,True,size
ORD000342,CUST00075,2023-06-10,51.27,18.81,Haircare,False,
ORD000343,CUST00075,2024-04-23,181.21,0.0,Skincare,False,
ORD000344,CUST00075,2023-05-11,165.89,14.31,Wellness,False,
ORD000345,CUST00076,2024-06-20,43.04,13.36,Skincare,False,
ORD000346,CUST00076,2024-02-18,149.72,38.27,Skincare,False,
ORD000347,CUST00076,2024-03-05,55.95,0.0,Wellness,False,
ORD000348,CUST00076,2024-02-10,78.07,0.0,Haircare,False,
ORD000349,CUST00076,2024-04-20,297.54,73.17,Makeup,False,
ORD000350,CUST00076,2024-03-24,197.28,0.0,Bodycare,True,quality
ORD000351,CUST00076,2024-06-19,235.88,0.0,Wellness,False,
ORD000352,CUST00077,2024-05-10,54.5,19.04,Makeup,True,not_needed
ORD000353,CUST00077,2024-02-23,124.81,0.0,Skincare,False,
ORD000354,CUST00078,2024-04-12,85.79,22.55,Wellness,True,not_needed
ORD000355,CUST00078,2023-12-26,85.69,18.72,Haircare,False,
ORD000356,CUST00078,2024-06-12,42.57,0.0,Haircare,False,
ORD000357,CUST00079,2023-12-23,73.08,22.69,Bodycare,False,
ORD000358,CUST00079,2024-01-26,177.8,14.19,Bodycare,True,
ORD000359,CUST00079,2024-05-05,239.92,0.0,Bodycare,False,
ORD000360,CUST00079,2023-11-02,85.09,0.0,Bodycare,False,
ORD000361,CUST00079,2023-11-08,77.0,0.0,Skincare,False,
ORD000362,CUST00079,2024-04-20,67.8,10.85,Makeup,False,
ORD000363,CUST00079,2024-04-05,115.18,0.0,Makeup,False,
ORD000364,CUST00079,2024-04-20,258.31,0.0,Skincare,False,
ORD000365,CUST00079,2024-05-19,38.13,9.19,Wellness,False,
ORD000366,CUST00079,2024-03-13,104.94,3.36,Bodycare,False,
ORD000367,CUST00079,2024-05-30,101.81,0.0,Makeup,False,
ORD000368,CUST00079,2024-04-11,25.46,7.4,Wellness,False,
ORD000369,CUST00079,2024-05-24,48.36,18.96,Skincare,False,
ORD000370,CUST00079,2024-05-09,55.82,17.89,Skincare,False,
ORD000371,CUST00079,2023-12-27,153.67,0.0,Makeup,False,
ORD000372,CUST00080,2023-12-10,173.69,16.4,Bodycare,False,
ORD000373,CUST00080,2024-03-09,204.4,0.0,Haircare,True,damaged
ORD000374,CUST00080,2024-03-05,28.68,8.75,Wellness,False,
ORD000375,CUST00080,2024-03-04,87.0,22.6,Skincare,False,
ORD000376,CUST00080,2023-12-08,75.33,0.0,Makeup,False,
ORD000377,CUST00080,2024-04-23,60.28,18.69,Haircare,False,
ORD000378,CUST00080,2024-05-06,65.49,24.01,Skincare,False,
ORD000379,CUST00081,2023-12-04,80.06,0.0,Makeup,False,
ORD000380,CUST00081,2023-11-09,114.95,0.0,Bodycare,False,
ORD000381,CUST00081,2024-03-21,69.58,0.0,Bodycare,False,
ORD000382,CUST00081,2024-02-26,141.04,0.0,Haircare,False,
ORD000383,CUST00082,2024-01-20,150.13,0.0,Haircare,False,
ORD000384,CUST00082,2023-09-28,62.8,12.41,Wellness,False,
ORD000385,CUST00082,2024-01-23,39.65,0.0,Haircare,False,
ORD000386,CUST00083,2024-04-08,302.2,0.0,Makeup,True,damaged
ORD000387,CUST00083,2024-03-17,18.48,3.03,Haircare,False,
ORD000388,CUST00083,2024-01-24,228.67,0.0,Wellness,False,
ORD000389,CUST00083,2024-01-31,573.85,190.3,Wellness,False,
ORD000390,CUST00083,2023-12-20,214.76,0.0,Wellness,False,
ORD000391,CUST00084,2022-10-10,44.67,0.0,Bodycare,False,
ORD000392,CUST00084,2023-01-30,68.25,25.52,Wellness,False,
ORD000393,CUST00084,2023-06-01,162.17,0.0,Wellness,False,
