ticket_id,customer_id,ticket_date,issue_type,resolved,resolution_days,satisfaction_score
TKT000055,CUST00039,2023-09-06,product_defect,False,,
TKT000056,CUST00039,2023-07-22,wrong_item,False,,
TKT000057,CUST00039,2024-01-18,refund_not_received,True,14.0,4.0
TKT000058,CUST00039,2024-05-21,product_defect,True,9.0,5.0
TKT000059,CUST00040,2023-11-19,wrong_item,True,1.0,1.0
TKT000060,CUST00040,2023-07-03,delivery_delay,False,,
TKT000061,CUST00040,2023-07-08,wrong_item,True,12.0,4.0
TKT000062,CUST00040,2023-11-15,product_defect,True,4.0,5.0
TKT000063,CUST00041,2023-07-09,general_query,True,13.0,3.0
TKT000064,CUST00042,2023-09-01,refund_not_received,False,,
TKT000065,CUST00043,2024-06-22,billing_issue,False,,
TKT000066,CUST00043,2024-02-05,general_query,True,8.0,1.0
TKT000067,CUST00043,2023-11-30,billing_issue,True,13.0,3.0
TKT000068,CUST00044,2023-07-22,delivery_delay,True,12.0,5.0
TKT000069,CUST00047,2023-10-21,refund_not_received,True,3.0,1.0
TKT000070,CUST00049,2023-07-23,product_defect,True,11.0,2.0
TKT000071,CUST00049,2023-09-22,delivery_delay,False,,
TKT000072,CUST00049,2024-05-26,billing_issue,True,10.0,4.0
TKT000073,CUST00049,2023-12-10,refund_not_received,False,,
TKT000074,CUST00049,2024-03-09,delivery_delay,True,4.0,4.0
TKT000075,CUST00050,2024-03-07,wrong_item,True,9.0,2.0
TKT000076,CUST00050,2023-12-20,refund_not_received,True,1.0,4.0
TKT000077,CUST00051,2023-08-07,general_query,True,12.0,1.0
TKT000078,CUST00051,2024-01-04,wrong_item,True,8.0,3.0
TKT000079,CUST00051,2024-03-22,refund_not_received,True,8.0,1.0
TKT000080,CUST00052,2024-01-19,refund_not_received,True,4.0,5.0
TKT000081,CUST00052,2024-02-26,wrong_item,True,12.0,5.0
TKT000082,CUST00053,2024-06-27,general_query,True,6.0,3.0
TKT000083,CUST00053,2023-11-25,general_query,False,,
TKT000084,CUST00054,2023-10-01,product_defect,True,12.0,1.0
TKT000085,CUST00055,2023-12-31,billing_issue,True,7.0,5.0
TKT000086,CUST00055,2024-04-27,product_defect,True,6.0,2.0
TKT000087,CUST00055,2024-05-12,billing_issue,True,13.0,2.0
TKT000088,CUST00056,2023-11-26,refund_not_received,False,,
TKT000089,CUST00057,2024-04-25,refund_not_received,True,13.0,5.0
TKT000090,CUST00057,2024-06-05,billing_issue,True,6.0,5.0
TKT000091,CUST00058,2024-06-03,delivery_delay,True,13.0,3.0
TKT000092,CUST00058,2023-12-15,wrong_item,True,10.0,4.0
TKT000093,CUST00059,2024-06-23,delivery_delay,True,10.0,1.0
TKT000094,CUST00061,2024-06-12,billing_issue,True,9.0,3.0
TKT000095,CUST00063,2024-02-19,general_query,True,4.0,3.0
TKT000096,CUST00069,2023-10-19,refund_not_received,True,13.0,5.0
TKT000097,CUST00070,2024-03-03,general_query,False,,
TKT000098,CUST00071,2024-06-13,wrong_item,True,2.0,2.0
TKT000099,CUST00073,2024-05-06,wrong_item,True,10.0,4.0
TKT000100,CUST00073,2023-10-19,product_defect,True,3.0,1.0
TKT000101,CUST00075,2024-03-19,wrong_item,False,,
TKT000102,CUST00076,2024-01-31,general_query,True,9.0,3.0
TKT000103,CUST00079,2023-07-30,product_defect,False,,
TKT000104,CUST00079,2023-12-29,delivery_delay,True,2.0,5.0
TKT000105,CUST00080,2023-07-30,wrong_item,True,10.0,3.0
TKT000106,CUST00080,2024-06-22,product_defect,True,11.0,5.0
TKT000107,CUST00081,2024-02-06,product_defect,True,6.0,5.0
TKT000108,CUST00081,2023-11-13,general_query,True,14.0,5.0
TKT000109,CUST00082,2024-06-11,product_defect,True,13.0,2.0
TKT000110,CUST00083,2024-02-24,general_query,True,8.0,4.0
TKT000111,CUST00085,2023-11-03,refund_not_received,True,1.0,4.0
TKT000112,CUST00087,2024-04-06,billing_issue,False,,
TKT000113,CUST00088,2023-09-08,delivery_delay,False,,
TKT000114,CUST00088,2024-03-18,wrong_item,False,,
TKT000115,CUST00089,2024-06-21,billing_issue,True,10.0,4.0
TKT000116,CUST00090,2023-09-22,refund_not_received,True,5.0,3.0
TKT000117,CUST00091,2023-07-23,product_defect,True,1.0,5.0
TKT000118,CUST00093,2024-05-09,refund_not_received,True,4.0,2.0
TKT000119,CUST00094,2023-07-12,general_query,False,,
TKT000120,CUST00094,2024-03-17,general_query,True,14.0,4.0
TKT000121,CUST00097,2023-07-04,refund_not_received,True,13.0,4.0
TKT000122,CUST00097,2024-02-26,delivery_delay,True,8.0,1.0
TKT000123,CUST00099,2024-01-03,billing_issue,False,,
TKT000124,CUST00100,2024-05-20,delivery_delay,True,4.0,2.0
TKT000125,CUST00101,2024-05-07,refund_not_received,True,9.0,4.0
TKT000126,CUST00102,2024-06-01,refund_not_received,True,7.0,4.0
TKT000127,CUST00104,2023-10-21,product_defect,True,12.0,5.0
TKT000128,CUST00109,2023-09-21,delivery_delay,True,14.0,2.0
TKT000129,CUST00110,2024-05-30,billing_issue,False,,
TKT000130,CUST00111,2023-11-15,refund_not_received,True,5.0,1.0
TKT000131,CUST00111,2023-12-29,product_defect,True,4.0,1.0
TKT000132,CUST00115,2024-03-14,refund_not_received,True,8.0,4.0
TKT000133,CUST00116,2023-10-02,billing_issue,True,14.0,2.0
TKT000134,CUST00118,2024-02-14,refund_not_received,False,,
TKT000135,CUST00118,2023-07-26,refund_not_received,False,,
TKT000136,CUST00118,2024-01-16,refund_not_received,True,2.0,2.0
TKT000137,CUST00118,2023-12-05,refund_not_received,True,8.0,3.0
TKT000138,CUST00122,2023-07-08,general_query,True,12.0,3.0
TKT000139,CUST00125,2024-01-20,wrong_item,True,13.0,2.0
TKT000140,CUST00126,2023-12-31,wrong_item,True,13.0,3.0
TKT000141,CUST00127,2023-07-18,billing_issue,False,,
TKT000142,CUST00127,2023-10-01,wrong_item,True,3.0,4.0
TKT000143,CUST00129,2023-07-30,billing_issue,False,,
TKT000144,CUST00130,2023-09-10,general_query,False,,
TKT000145,CUST00130,2024-05-03,wrong_item,False,,
TKT000146,CUST00130,2024-05-07,delivery_delay,False,,
TKT000147,CUST00132,2024-05-03,refund_not_received,True,8.0,2.0
TKT000148,CUST00132,2024-03-03,wrong_item,True,2.0,3.0
TKT000149,CUST00133,2023-11-07,general_query,True,7.0,4.0
TKT000150,CUST00133,2024-06-11,delivery_delay,True,11.0,4.0
TKT000151,CUST00134,2023-10-01,billing_issue,True,9.0,2.0
TKT000152,CUST00137,2023-10-15,delivery_delay,True,14.0,5.0
TKT000153,CUST00137,2024-03-07,wrong_item,True,12.0,1.0
TKT000154,CUST00138,2024-03-31,wrong_item,False,,
TKT000155,CUST00139,2023-10-13,delivery_delay,False,,
TKT000156,CUST00139,2024-02-23,wrong_item,False,,
TKT000157,CUST00140,2024-01-05,general_query,True,4.0,2.0
TKT000158,CUST00140,2023-09-27,product_defect,True,5.0,5.0
TKT000159,CUST00140,2023-12-28,wrong_item,True,8.0,1.0
TKT000160,CUST00140,2024-01-08,wrong_item,True,12.0,4.0
TKT000161,CUST00141,2023-10-02,general_query,False,,
TKT000162,CUST00141,2024-04-22,billing_issue,True,9.0,1.0
TKT000163,CUST00142,2023-08-07,product_defect,True,5.0,2.0
TKT000164,CUST00145,2023-11-05,delivery_delay,True,11.0,5.0
TKT000165,CUST00146,2023-07-22,product_defect,True,12.0,5.0
TKT000166,CUST00146,2023-08-11,refund_not_received,True,12.0,3.0
TKT000167,CUST00147,2023-10-27,product_defect,True,4.0,4.0
TKT000168,CUST00149,2024-06-17,billing_issue,True,6.0,3.0
TKT000169,CUST00149,2023-11-02,refund_not_received,True,13.0,2.0
TKT000170,CUST00150,2023-12-01,billing_issue,True,14.0,2.0
TKT000171,CUST00151,2024-04-28,product_defect,False,,
TKT000172,CUST00152,2024-03-30,wrong_item,True,2.0,2.0
TKT000173,CUST00152,2023-07-06,billing_issue,True,13.0,1.0
TKT000174,CUST00153,2023-12-12,product_defect,True,11.0,5.0
TKT000175,CUST00153,2024-02-22,delivery_delay,False,,
TKT000176,CUST00153,2023-10-17,wrong_item,True,6.0,3.0
TKT000177,CUST00155,2024-05-28,billing_issue,False,,
TKT000178,CUST00156,2024-04-06,billing_issue,True,4.0,1.0
TKT000179,CUST00157,2024-02-17,delivery_delay,False,,
TKT000180,CUST00158,2024-03-03,product_defect,True,1.0,2.0
TKT000181,CUST00162,2024-04-09,refund_not_received,True,8.0,2.0
TKT000182,CUST00164,2024-01-14,billing_issue,True,1.0,3.0
TKT000183,CUST00164,2023-11-14,billing_issue,True,7.0,3.0
TKT000184,CUST00165,2023-11-16,billing_issue,True,10.0,4.0
TKT000185,CUST00166,2023-07-31,product_defect,True,3.0,3.0
TKT000186,CUST00166,2024-05-30,product_defect,True,14.0,5.0
TKT000187,CUST00167,2023-12-04,wrong_item,False,,
TKT000188,CUST00168,2023-12-15,general_query,True,4.0,3.0
TKT000189,CUST00170,2023-11-18,general_query,True,11.0,5.0
TKT000190,CUST00170,2023-09-28,delivery_delay,True,10.0,2.0
TKT000191,CUST00178,2023-12-27,product_defect,True,9.0,5.0
TKT000192,CUST00178,2023-08-01,refund_not_received,True,8.0,2.0
TKT000193,CUST00178,2023-12-11,refund_not_received,True,4.0,2.0
TKT000194,CUST00180,2024-06-21,wrong_item,False,,
TKT000195,CUST00181,2023-12-14,refund_not_received,True,3.0,4.0
TKT000196,CUST00182,2024-04-13,delivery_delay,True,4.0,2.0
TKT000197,CUST00183,2023-07-07,wrong_item,False,,
TKT000198,CUST00183,2023-08-23,wrong_item,True,13.0,4.0
TKT000199,CUST00184,2024-02-06,general_query,True,2.0,4.0
TKT000200,CUST00184,2024-02-28,general_query,True,12.0,2.0
TKT000201,CUST00185,2023-07-17,delivery_delay,True,1.0,1.0
TKT000202,CUST00185,2023-12-14,refund_not_received,True,7.0,2.0
TKT000203,CUST00185,2024-04-17,wrong_item,True,14.0,3.0
TKT000204,CUST00186,2024-01-25,delivery_delay,True,9.0,3.0
TKT000205,CUST00187,2023-11-10,refund_not_received,True,3.0,2.0
TKT000206,CUST00187,2023-09-09,delivery_delay,True,11.0,1.0
TKT000207,CUST00188,2023-10-12,refund_not_received,True,2.0,1.0
TKT000208,CUST00189,2023-12-17,refund_not_received,True,12.0,1.0
TKT000209,CUST00190,2023-07-28,product_defect,False,,
TKT000210,CUST00190,2023-12-13,wrong_item,False,,
TKT000211,CUST00191,2023-11-28,general_query,True,2.0,4.0
TKT000212,CUST00191,2024-02-16,wrong_item,True,4.0,5.0
TKT000213,CUST00192,2023-08-10,general_query,True,7.0,2.0
TKT000214,CUST00193,2024-01-22,delivery_delay,True,7.0,4.0
TKT000215,CUST00194,2023-08-14,billing_issue,True,5.0,3.0
TKT000216,CUST00195,2023-11-02,product_defect,False,,
TKT000217,CUST00197,2024-04-15,refund_not_received,False,,
TKT000218,CUST00199,2024-01-03,product_defect,True,11.0,3.0
TKT000219,CUST00200,2024-04-12,billing_issue,False,,
TKT000220,CUST00200,2023-09-11,wrong_item,True,12.0,3.0
TKT000221,CUST00201,2024-06-22,delivery_delay,True,11.0,1.0
TKT000222,CUST00201,2023-07-14,product_defect,True,10.0,5.0
TKT000223,CUST00202,2023-12-21,product_defect,True,11.0,1.0
TKT000224,CUST00203,2024-01-04,general_query,True,1.0,4.0
TKT000225,CUST00204,2023-11-20,wrong_item,True,9.0,3.0
TKT000226,CUST00204,2024-03-02,general_query,False,,
TKT000227,CUST00204,2024-03-20,refund_not_received,False,,
TKT000228,CUST00205,2024-05-19,billing_issue,True,13.0,3.0
TKT000229,CUST00205,2023-12-30,delivery_delay,True,3.0,5.0
TKT000230,CUST00206,2023-09-21,wrong_item,True,13.0,5.0
TKT000231,CUST00209,2024-03-30,product_defect,True,9.0,5.0
TKT000232,CUST00210,2024-05-24,general_query,True,3.0,1.0
TKT000233,CUST00210,2023-10-13,general_query,True,6.0,2.0
TKT000234,CUST00212,2024-05-04,refund_not_received,False,,
TKT000235,CUST00212,2023-09-23,product_defect,True,7.0,5.0
TKT000236,CUST00213,2023-11-22,delivery_delay,True,14.0,3.0
TKT000237,CUST00214,2024-05-31,product_defect,True,12.0,2.0
TKT000238,CUST00215,2024-02-08,billing_issue,True,2.0,2.0
TKT000239,CUST00218,2023-08-27,delivery_delay,True,4.0,2.0
TKT000240,CUST00218,2023-12-25,product_defect,True,8.0,3.0
TKT000241,CUST00219,2023-08-27,product_defect,True,13.0,2.0
TKT000242,CUST00219,2023-09-16,wrong_item,True,5.0,1.0
TKT000243,CUST00220,2023-07-18,refund_not_received,False,,
TKT000244,CUST00220,2023-08-06,wrong_item,True,4.0,5.0
TKT000245,CUST00222,2023-09-04,product_defect,True,14.0,5.0
TKT000246,CUST00225,2023-12-30,delivery_delay,True,4.0,2.0
TKT000247,CUST00225,2024-06-16,general_query,True,5.0,1.0
TKT000248,CUST00225,2024-02-03,general_query,True,4.0,2.0
TKT000249,CUST00227,2023-09-01,billing_issue,True,6.0,1.0
TKT000250,CUST00228,2024-01-11,wrong_item,False,,
TKT000251,CUST00229,2023-07-22,refund_not_received,True,11.0,1.0
TKT000252,CUST00229,2024-01-10,wrong_item,True,2.0,5.0
TKT000253,CUST00230,2024-04-26,refund_not_received,False,,
TKT000254,CUST00230,2023-10-24,delivery_delay,True,10.0,1.0
TKT000255,CUST00231,2023-10-26,wrong_item,True,8.0,5.0
TKT000256,CUST00234,2023-07-12,delivery_delay,True,12.0,1.0
TKT000257,CUST00234,2023-11-01,wrong_item,True,14.0,1.0
TKT000258,CUST00234,2024-06-14,wrong_item,True,6.0,4.0
TKT000259,CUST00236,2023-10-03,billing_issue,True,12.0,3.0
TKT000260,CUST00236,2023-10-02,general_query,True,8.0,2.0
TKT000261,CUST00236,2023-10-28,wrong_item,True,10.0,4.0
TKT000262,CUST00237,2023-12-05,delivery_delay,True,8.0,2.0
TKT000263,CUST00237,2024-03-09,general_query,True,1.0,3.0
TKT000264,CUST00238,2023-11-02,product_defect,True,1.0,5.0
TKT000265,CUST00238,2024-05-06,product_defect,True,7.0,5.0
TKT000266,CUST00239,2023-08-30,general_query,True,3.0,3.0
TKT000267,CUST00239,2024-04-23,general_query,False,,
TKT000268,CUST00241,2023-09-04,delivery_delay,True,5.0,2.0
TKT000269,CUST00242,2023-09-06,wrong_item,True,2.0,4.0
TKT000270,CUST00242,2024-06-20,billing_issue,True,13.0,3.0
TKT000271,CUST00243,2023-10-26,wrong_item,False,,
TKT000272,CUST00244,2024-04-23,refund_not_received,True,7.0,5.0
TKT000273,CUST00246,2024-02-02,delivery_delay,False,,
TKT000274,CUST00246,2024-03-10,delivery_delay,True,7.0,2.0
TKT000275,CUST00246,2023-12-08,delivery_delay,True,8.0,3.0
TKT000276,CUST00246,2024-04-14,general_query,True,9.0,1.0
TKT000277,CUST00246,2024-02-23,refund_not_received,True,7.0,3.0
TKT000278,CUST00248,2024-04-10,billing_issue,True,4.0,5.0
TKT000279,CUST00252,2024-03-09,billing_issue,True,13.0,3.0
TKT000280,CUST00253,2024-02-27,product_defect,True,12.0,4.0
TKT000281,CUST00253,2024-06-08,billing_issue,True,6.0,2.0
TKT000282,CUST00254,2024-03-29,billing_issue,True,14.0,4.0
TKT000283,CUST00254,2024-02-29,delivery_delay,True,2.0,1.0
TKT000284,CUST00256,2024-02-20,billing_issue,True,8.0,3.0
TKT000285,CUST00256,2023-11-09,wrong_item,False,,
TKT000286,CUST00257,2023-10-23,general_query,True,8.0,4.0
TKT000287,CUST00257,2024-06-11,billing_issue,True,10.0,1.0
TKT000288,CUST00258,2023-09-09,refund_not_received,False,,
TKT000289,CUST00258,2023-09-30,wrong_item,True,6.0,4.0
TKT000290,CUST00259,2024-01-09,refund_not_received,True,4.0,5.0
TKT000291,CUST00259,2023-12-15,delivery_delay,True,11.0,2.0
TKT000292,CUST00261,2023-07-14,wrong_item,True,8.0,2.0
TKT000293,CUST00263,2023-12-07,general_query,True,10.0,1.0
TKT000294,CUST00263,2024-06-03,general_query,True,1.0,3.0
TKT000295,CUST00264,2024-05-04,refund_not_received,True,6.0,4.0
TKT000296,CUST00264,2023-08-15,product_defect,True,1.0,4.0
TKT000297,CUST00264,2024-04-08,general_query,False,,
TKT000298,CUST00265,2023-10-16,billing_issue,True,8.0,4.0
TKT000299,CUST00265,2024-05-26,refund_not_received,True,10.0,5.0
TKT000300,CUST00266,2024-05-09,billing_issue,True,8.0,2.0
TKT000301,CUST00269,2024-03-03,wrong_item,True,13.0,1.0
TKT000302,CUST00269,2024-04-30,billing_issue,True,14.0,3.0
TKT000303,CUST00270,2023-11-17,general_query,False,,
TKT000304,CUST00271,2023-11-28,delivery_delay,True,3.0,4.0
TKT000305,CUST00271,2024-01-14,general_query,False,,
TKT000306,CUST00271,2024-04-09,delivery_delay,True,9.0,2.0
TKT000307,CUST00272,2023-09-03,product_defect,False,,
TKT000308,CUST00274,2023-10-22,billing_issue,False,,
TKT000309,CUST00276,2023-08-06,billing_issue,False,,
TKT000310,CUST00277,2023-12-25,product_defect,False,,
TKT000311,CUST00278,2024-02-18,general_query,True,10.0,1.0
TKT000312,CUST00279,2023-08-15,delivery_delay,False,,
TKT000313,CUST00279,2023-08-08,delivery_delay,True,12.0,3.0
TKT000314,CUST00279,2023-07-19,wrong_item,False,,
TKT000315,CUST00280,2023-12-24,general_query,True,4.0,1.0
TKT000316,CUST00281,2023-07-04,product_defect,False,,
TKT000317,CUST00281,2023-11-09,product_defect,False,,
TKT000318,CUST00281,2024-04-27,wrong_item,True,10.0,4.0
TKT000319,CUST00282,2023-10-21,delivery_delay,True,7.0,5.0
TKT000320,CUST00284,2024-02-20,general_query,True,14.0,1.0
TKT000321,CUST00286,2024-02-12,delivery_delay,True,1.0,1.0
TKT000322,CUST00288,2024-02-11,refund_not_received,True,6.0,4.0
TKT000323,CUST00288,2024-06-06,delivery_delay,True,1.0,4.0
TKT000324,CUST00290,2024-01-22,delivery_delay,False,,
TKT000325,CUST00290,2023-11-15,billing_issue,False,,
TKT000326,CUST00290,2023-10-25,refund_not_received,True,9.0,2.0
TKT000327,CUST00290,2024-03-31,billing_issue,True,11.0,3.0
TKT000328,CUST00291,2024-01-25,product_defect,True,12.0,3.0
TKT000329,CUST00293,2024-02-18,general_query,False,,
TKT000330,CUST00295,2023-10-25,general_query,True,10.0,2.0
TKT000331,CUST00295,2023-12-21,general_query,True,10.0,4.0
TKT000332,CUST00296,2023-07-12,refund_not_received,True,7.0,3.0
TKT000333,CUST00296,2024-02-09,wrong_item,True,9.0,4.0
TKT000334,CUST00296,2023-09-17,general_query,True,12.0,2.0
TKT000335,CUST00296,2023-07-24,delivery_delay,True,1.0,3.0
TKT000336,CUST00297,2024-03-25,general_query,False,,
TKT000337,CUST00297,2023-07-09,general_query,True,12.0,5.0
TKT000338,CUST00297,2024-06-01,general_query,False,,
TKT000339,CUST00298,2023-10-20,billing_issue,True,6.0,2.0
TKT000340,CUST00298,2023-12-07,general_query,True,2.0,4.0
TKT000341,CUST00300,2024-02-02,general_query,False,,
TKT000342,CUST00301,2024-06-19,product_defect,True,6.0,4.0
TKT000343,CUST00302,2024-05-30,delivery_delay,True,4.0,1.0
TKT000344,CUST00302,2023-12-03,refund_not_received,True,8.0,3.0
TKT000345,CUST00302,2024-04-15,delivery_delay,True,8.0,1.0
TKT000346,CUST00303,2024-04-11,billing_issue,False,,
TKT000347,CUST00304,2023-07-04,refund_not_received,True,2.0,4.0
TKT000348,CUST00305,2023-11-22,wrong_item,True,1.0,4.0
TKT000349,CUST00306,2024-01-30,general_query,True,8.0,2.0
TKT000350,CUST00308,2023-09-12,delivery_delay,True,12.0,3.0
TKT000351,CUST00308,2024-03-14,general_query,True,2.0,4.0
TKT000352,CUST00308,2023-12-04,product_defect,True,14.0,2.0
TKT000353,CUST00309,2023-11-18,general_query,True,6.0,3.0
TKT000354,CUST00309,2024-02-24,refund_not_received,False,,
TKT000355,CUST00310,2023-08-07,product_defect,False,,
TKT000356,CUST00310,2023-09-09,billing_issue,True,5.0,4.0
TKT000357,CUST00310,2024-02-11,product_defect,False,,
TKT000358,CUST00311,2024-01-10,wrong_item,True,7.0,4.0
TKT000359,CUST00311,2023-10-11,general_query,True,1.0,2.0
TKT000360,CUST00312,2023-11-19,refund_not_received,True,12.0,1.0
TKT000361,CUST00312,2024-01-18,general_query,True,6.0,1.0
TKT000362,CUST00312,2023-07-26,refund_not_received,False,,
TKT000363,CUST00312,2024-05-27,delivery_delay,True,12.0,5.0
TKT000364,CUST00313,2023-11-01,product_defect,True,3.0,1.0
TKT000365,CUST00313,2023-07-01,refund_not_received,True,7.0,4.0
TKT000366,CUST00314,2024-01-16,delivery_delay,True,6.0,2.0
TKT000367,CUST00314,2023-08-09,product_defect,True,11.0,1.0
TKT000368,CUST00315,2023-07-11,billing_issue,False,,
TKT000369,CUST00315,2024-02-08,product_defect,True,12.0,2.0
TKT000370,CUST00316,2023-10-17,delivery_delay,True,8.0,5.0
TKT000371,CUST00316,2023-07-25,billing_issue,True,2.0,2.0
TKT000372,CUST00318,2023-10-08,wrong_item,True,8.0,2.0
TKT000373,CUST00319,2024-03-26,refund_not_received,True,13.0,4.0
TKT000374,CUST00320,2023-09-18,general_query,False,,
TKT000375,CUST00320,2023-09-17,wrong_item,True,6.0,3.0
TKT000376,CUST00320,2024-04-22,wrong_item,True,2.0,1.0
TKT000377,CUST00321,2023-11-17,general_query,True,6.0,3.0
TKT000378,CUST00321,2023-10-19,product_defect,True,10.0,3.0
TKT000379,CUST00325,2024-06-11,billing_issue,True,8.0,3.0
TKT000380,CUST00327,2024-02-02,product_defect,True,6.0,5.0
TKT000381,CUST00329,2023-09-05,general_query,False,,
TKT000382,CUST00329,2023-09-24,general_query,True,3.0,3.0
TKT000383,CUST00330,2023-09-16,product_defect,True,14.0,4.0
TKT000384,CUST00331,2024-02-24,delivery_delay,True,1.0,4.0
TKT000385,CUST00331,2023-08-03,general_query,True,6.0,1.0
TKT000386,CUST00332,2023-12-25,billing_issue,True,14.0,4.0
TKT000387,CUST00332,2023-07-10,delivery_delay,False,,
TKT000388,CUST00332,2023-09-04,billing_issue,True,5.0,5.0
TKT000389,CUST00333,2024-01-10,product_defect,True,8.0,2.0
TKT000390,CUST00334,2024-02-14,wrong_item,False,,
TKT000391,CUST00334,2024-01-10,delivery_delay,True,11.0,1.0
TKT000392,CUST00334,2023-08-15,refund_not_received,False,,
TKT000393,CUST00336,2023-07-13,product_defect,True,5.0,4.0
TKT000394,CUST00337,2024-05-15,general_query,True,7.0,1.0
TKT000395,CUST00339,2024-01-18,general_query,True,13.0,4.0
TKT000396,CUST00341,2024-01-10,product_defect,True,3.0,3.0
TKT000397,CUST00342,2023-11-12,general_query,True,9.0,1.0
TKT000398,CUST00344,2024-06-28,billing_issue,True,12.0,1.0
TKT000399,CUST00345,2024-04-05,refund_not_received,True,2.0,5.0
TKT000400,CUST00345,2023-09-18,delivery_delay,True,13.0,5.0
TKT000401,CUST00346,2023-08-27,general_query,False,,
TKT000402,CUST00348,2024-02-22,wrong_item,True,9.0,1.0
TKT000403,CUST00349,2024-04-21,billing_issue,False,,
TKT000404,CUST00350,2024-05-04,billing_issue,True,4.0,1.0
TKT000405,CUST00350,2024-06-22,delivery_delay,True,6.0,5.0
TKT000406,CUST00350,2023-09-26,billing_issue,False,,
TKT000407,CUST00351,2024-06-23,general_query,True,9.0,1.0
TKT000408,CUST00351,2023-09-24,delivery_delay,True,4.0,2.0
TKT000409,CUST00352,2024-02-06,delivery_delay,True,6.0,1.0
TKT000410,CUST00352,2023-09-20,delivery_delay,False,,
TKT000411,CUST00355,2023-07-10,delivery_delay,True,6.0,4.0
TKT000412,CUST00356,2023-07-02,general_query,True,9.0,4.0
TKT000413,CUST00358,2023-09-01,general_query,True,3.0,1.0
TKT000414,CUST00358,2024-03-01,delivery_delay,False,,
TKT000415,CUST00359,2023-12-02,billing_issue,True,5.0,4.0
TKT000416,CUST00359,2024-06-18,general_query,False,,
